abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,original_title,budget,original_language,homepage,overview,popularity,runtime,release_date,revenue,vote_average,vote_count,genre_names,spoken_languages,production_countries
"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.","A trashy treat coated in a high-art gloss, “The Attachment Diaries” gleefully kneads melodrama, noir, horror and sexual perversion into a pathological romance between two deeply damaged women.",C,7,The New York Times,"0      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
1      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
2      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
3      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
4      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
                             ...                        
165    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
166    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
167    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
168    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
169    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
Name: multimedia, Length: 170, dtype: object","subject: Movies;creative_works: The Attachment Diaries (Movie);persons: Diment, Valentin Javier;",2023-05-25T11:00:03+0000,article,Weekend,Movies,Review,nyt://article/428e3586-a19f-5912-9f7c-6b913068e24f,295,nyt://article/428e3586-a19f-5912-9f7c-6b913068e24f,"‘The Attachment Diaries’ Review: Love, Sick",,,The Attachment Diaries,,,,By Jeannette Catsoulis,,The Attachment Diaries,El apego,0,es,,"Argentina, 1970s. A desperate young woman goes to a clinic to have a clandestine abortion. As her pregnancy is already through the fourth month, the doctor refuses. Instead, she proposes to sell the baby to one of her clients and offers to provide shelter in her house until the child is born. Their disturbed personalities will become intertwined in a strange and dangerous relationship.",5.486,102,2021-10-07,0,3.0,4,"{id: 18, name: Drama}, {id: 9648, name: Mystery}, {id: 53, name: Thriller}, {id: 27, name: Horror}","{english_name: Spanish, iso_639_1: es, name: Español}","{iso_3166_1: AR, name: Argentina}"
Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,"In “You Can Live Forever,” Jaime and Marike do many things teenagers in love do, like looking soulfully into each other’s eyes and making out in a car’s back seat. They also knock on doors to proselytize for the Jehovah’s Witnesses.",C,9,The New York Times,"0      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
1      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
2      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
3      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
4      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
                             ...                        
165    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
166    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
167    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
168    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
169    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
Name: multimedia, Length: 170, dtype: object","subject: Movies;creative_works: You Can Live Forever (Movie);persons: Slutsky, Mark;persons: Watts, Sarah (Film Director);persons: O'Driscoll, Anwen;persons: Laporte, June (Actor);",2023-05-04T11:00:08+0000,article,Weekend,Movies,Review,nyt://article/01d68af6-5e5d-52c9-bf5a-87e068ac9a82,294,nyt://article/01d68af6-5e5d-52c9-bf5a-87e068ac9a82,‘You Can Live Forever’ Review: Do You Love Me Now?,,,You Can Live Forever,,,,By Elisabeth Vincentelli,,You Can Live Forever,You Can Live Forever,0,en,https://gooddeedentertainment.com/you-can-live-forever/,"When Jaime, a gay teenager, is sent to live in a community of Jehovah's Witnesses in small-town Quebec, she falls madly in love with a devout Witness girl. The two embark on an intense affair with consequences that will reshape the rest of their lives.",29.347,96,2023-03-24,15055,6.7,33,"{id: 18, name: Drama}, {id: 10749, name: Romance}","{english_name: English, iso_639_1: en, name: English}, {english_name: French, iso_639_1: fr, name: Français}","{iso_3166_1: CA, name: Canada}, {iso_3166_1: US, name: United States of America}"
"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.","A woman stands on a dock, staring out at the sea through a set of binoculars, hoping for the impossible and refusing to accept the inevitable. “Emma, it’s your third day out here,” her sister tells her desperately. “I’m going to stay out here, as long as it takes,” Emma responds.",C,8,The New York Times,"0      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
1      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
2      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
3      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
4      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
                             ...                        
165    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
166    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
167    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
168    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
169    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
Name: multimedia, Length: 170, dtype: object","subject: Movies;persons: Bracey, Luke (1989- );persons: Liu, Simu;persons: Reid, Taylor Jenkins;persons: Soo, Phillipa;persons: Fickman, Andy;creative_works: One True Loves (Movie);",2023-04-13T11:00:06+0000,article,Weekend,Movies,Review,nyt://article/e023a661-f9d7-5230-87dd-681a8fcb7452,320,nyt://article/e023a661-f9d7-5230-87dd-681a8fcb7452,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,,One True Loves,One True Loves,0,en,,"Emma and Jesse are living the perfect life together, until Jesse disappears in a tragic helicopter crash on their first wedding anniversary. Four years later, Emma has found happiness again and is about to marry her best friend when Jesse resurfaces, turning her world upside down and leaving her torn between two great loves.",14.097,100,2023-04-07,37820,6.406,69,"{id: 10749, name: Romance}, {id: 18, name: Drama}, {id: 35, name: Comedy}","{english_name: English, iso_639_1: en, name: English}, {english_name: Spanish, iso_639_1: es, name: Español}","{iso_3166_1: CZ, name: Czech Republic}, {iso_3166_1: US, name: United States of America}"
"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.","Interest in John Lennon’s personal life goes back to early ’60s Beatlemania, when a waggish producer on the Ed Sullivan Show captioned a shot of the then-moptop, “Sorry girls, he’s married.”",C,6,The New York Times,"0      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
1      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
2      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
3      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
4      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
                             ...                        
165    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
166    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
167    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
168    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
169    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
Name: multimedia, Length: 170, dtype: object","subject: Documentary Films and Programs;creative_works: The Lost Weekend: A Love Story (Movie);persons: Pang, May;persons: Lennon, John;persons: Ono, Yoko;persons: Brandstein, Eve;persons: Kaufman, Richard S (Filmmaker);persons: Samuels, Stuart (Filmmaker);subject: Content Type: Personal Profile;subject: Pop and Rock Music;",2023-04-13T11:00:03+0000,article,Weekend,Movies,Review,nyt://article/75ee3954-bc09-5c42-9edf-272c4961ca15,327,nyt://article/75ee3954-bc09-5c42-9edf-272c4961ca15,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,,,The Lost Weekend:  A Love Story,,,,By Glenn Kenny,,The Lost Weekend: A Love Story,The Lost Weekend: A Love Story,0,en,https://thelostweekendmovie.com/,"May Pang lovingly recounts her life in rock & roll and the whirlwind 18 months spent as friend, lover, and confidante to one of the towering figures of popular culture, John Lennon, in this funny, touching, and vibrant portrait of first love.",7.393,95,2023-04-13,77145,6.0,2,"{id: 99, name: Documentary}","{english_name: English, iso_639_1: en, name: English}","{iso_3166_1: US, name: United States of America}"
"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.","The first time you truly see Inez De La Paz, the galvanic center of “A Thousand and One,” she is framed against a wall that’s as red as a fire alarm. Inez is on the move, as she often is in this heart-clencher, the low-angle camera worshipfully pointed up at her. And no wonder: Inez is a dynamo, a force. She’s tough and beautiful, mouthy and unwaveringly loyal, but if she moves fast it’s often because she has no other choice. All she has is forward momentum, her unbending will and the small, somber boy at her side.",C,1,The New York Times,"0      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
1      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
2      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
3      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
4      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
                             ...                        
165    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
166    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
167    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
168    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
169    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
Name: multimedia, Length: 170, dtype: object","subject: Movies;creative_works: A Thousand and One (Movie);persons: Rockwell, AV (Film Director);persons: Taylor, Teyana (1990- );",2023-03-30T18:53:42+0000,article,Weekend,Movies,Review,nyt://article/fd5ec258-0fda-55e4-8db2-67be4c2a5582,971,nyt://article/fd5ec258-0fda-55e4-8db2-67be4c2a5582,‘A Thousand and One’ Review: A New York Love Story,Critic’s Pick,,An Unbending Will Meets a Shifting City,,,,By Manohla Dargis,,A Thousand and One,A Thousand and One,0,en,https://www.focusfeatures.com/a-thousand-and-one/,"Struggling but unapologetically living on her own terms, Inez is moving from shelter to shelter in mid-1990s New York City. With her 6-year-old son Terry in foster care and unable to leave him again, she kidnaps him so they can build their life together. As the years go by, their family grows and Terry becomes a smart yet quiet teenager, but the secret that has defined their lives threatens to destroy the home they have so improbably built.",13.351,116,2023-03-31,3395595,6.905,84,"{id: 18, name: Drama}, {id: 80, name: Crime}","{english_name: English, iso_639_1: en, name: English}, {english_name: Portuguese, iso_639_1: pt, name: Português}, {english_name: Spanish, iso_639_1: es, name: Español}","{iso_3166_1: US, name: United States of America}"
This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,"Reese Witherspoon, Ashton Kutcher and the screenwriter (and first-time director) Aline Brosh McKenna each have decades of experience making hit romantic comedies. So it’s all the more confounding that their latest, “Your Place or Mine,” is as phony and flat as a store-bought valentine forced on every kid in class. Witherspoon and Kutcher play Debbie and Peter, longtime chums who shared a sole night of passion 20 years ago before settling into a bicoastal best friendship. Why haven’t these codependent singletons gotten back together? “She’s … her and I’m … me?” he sputters. His answer sums up the hard thinking that went into this script.",C,5,The New York Times,"0      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
1      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
2      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
3      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
4      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
                             ...                        
165    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
166    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
167    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
168    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
169    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
Name: multimedia, Length: 170, dtype: object","subject: Movies;creative_works: Your Place or Mine (Movie);persons: Witherspoon, Reese;persons: Kutcher, Ashton;persons: McKenna, Aline Brosh;",2023-02-10T00:00:05+0000,article,Weekend,Movies,Review,nyt://article/dacb1b3f-a166-5ae1-8f87-8807f0ab0d20,569,nyt://article/dacb1b3f-a166-5ae1-8f87-8807f0ab0d20,‘Your Place or Mine’ Review: Try Neither,,,They Have a Humdrum Kind of Love,,,,By Amy Nicholson,,Your Place or Mine,Your Place or Mine,0,en,https://www.netflix.com/title/81045831,"When best friends and total opposites Debbie and Peter swap homes for a week, they get a peek into each other's lives that could open the door to love.",20.966,109,2023-02-10,0,6.275,696,"{id: 10749, name: Romance}, {id: 35, name: Comedy}","{english_name: English, iso_639_1: en, name: English}","{iso_3166_1: US, name: United States of America}"
"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.","In 2016, in response to record high overdose deaths in Vancouver, a group of artists, activists, and current and former drug users in the Downtown Eastside neighborhood came together to form the Overdose Prevention Society, a renegade safe consumption site where drug users could safely consume drugs. The O.P.S. staff tests the drugs for fentanyl, provides clean needles and has Narcan on hand in case of an overdose. “Love in the Time of Fentanyl,” directed by Colin Askey, tenderly documents this community’s lifesaving efforts.",C,9,The New York Times,"0      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
1      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
2      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
3      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
4      [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
                             ...                        
165    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
166    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
167    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
168    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
169    [{'rank': 0, 'subtype': 'xlarge', 'caption': N...
Name: multimedia, Length: 170, dtype: object","subject: Documentary Films and Programs;subject: Fentanyl;subject: Drug Abuse and Traffic;subject: Volunteers and Community Service;creative_works: Love in the Time of Fentanyl (Movie);persons: Askey, Colin;glocations: Vancouver (British Columbia);organizations: Overdose Prevention Society;",2023-02-02T12:00:11+0000,article,Weekend,Movies,Review,nyt://article/92f5af63-f8cb-578e-a47e-1ef4e7654945,306,nyt://article/92f5af63-f8cb-578e-a47e-1ef4e7654945,"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",,,Love in the Time Of Fentanyl,,,,By Concepción de León,,Love in the Time of Fentanyl,Love in the Time of Fentanyl,0,en,,An intimate portrait of a community fighting to save lives and keep hope alive in a neighborhood ravaged by the overdose crisis.,1.96,85,2023-02-03,0,0.0,0,"{id: 99, name: Documentary}","{english_name: English, iso_639_1: en, name: English}","{iso_3166_1: CA, name: Canada}, {iso_3166_1: US, name: United States of America}"
